num_boids,dimension,max_speed,perception_radius,limit,mae,rmse,best_val_loss,duration_sec,error
50,100,5,50,1000,750.991876680184,943.5655761331317,0.0018942542374134064,12.06,
50,100,5,100,1000,422.2241297043461,531.9348284306337,0.0006020202417857945,3.68,
50,100,5,150,1000,499.20073252709204,615.3047647318942,0.000805514631792903,4.13,
50,100,5,200,1000,382.93368951614474,498.75925668059,0.0005292693385854363,3.95,
50,100,10,50,1000,750.5732694893189,950.9551050404916,0.0019240411929786205,2.94,
50,100,10,100,1000,636.5974831989764,783.2713128050103,0.0013053251896053553,3.43,
50,100,10,150,1000,1004.0712264784911,1144.674695381566,0.002787784906104207,3.05,
50,100,10,200,1000,630.7504065860855,778.3902574165827,0.0012891065562143922,3.08,
50,100,20,50,1000,473.99746639787645,603.608033923804,0.0007751843659207225,3.72,
50,100,20,100,1000,438.4630628360642,540.2700180336748,0.0006210352294147015,4.3,
50,100,20,150,1000,400.2978343414054,522.3474761688112,0.0005805155378766358,4.11,
50,100,20,200,1000,516.3829637096617,650.2549570564917,0.0008996273390948772,3.48,
50,200,5,50,1000,577.6734828629776,783.6544328055742,0.0013066019164398313,2.97,
50,200,5,100,1000,470.45847782259614,609.937955776712,0.0007915266905911267,3.45,
50,200,5,150,1000,475.04976142480865,591.7099673800408,0.0007449237746186554,3.78,
50,200,5,200,1000,552.5675100808361,714.1040862034503,0.0010849664686247706,4.04,
50,200,10,50,1000,617.4717540321783,767.299969180797,0.0012526388745754957,3.11,
50,200,10,100,1000,556.0548975135232,748.7341554717606,0.0011927501764148474,3.04,
50,200,10,150,1000,565.7387415994679,675.3824711263509,0.0009704962722025812,3.97,
50,200,10,200,1000,570.0904754705348,718.868960970163,0.0010994948679581285,3.39,
50,200,20,50,1000,765.0021471774255,935.1339188147729,0.0018605547957122326,3.01,
50,200,20,100,1000,715.7524294354309,875.5905361387576,0.0016311595682054758,3.01,
50,200,20,150,1000,880.9968161965588,1036.5611378256929,0.002286034869030118,3.09,
50,200,20,200,1000,672.9134324597219,840.8972759948603,0.0015044587198644876,3.86,
50,400,5,50,1000,1104.819566532309,1290.4634362388324,0.003543120576068759,3.08,
50,400,5,100,1000,1444.1684660615847,1593.9178314662613,0.005405394826084375,3.14,
50,400,5,150,1000,543.8785668683214,715.3539116793428,0.0010887694079428911,3.29,
50,400,5,200,1000,832.8519422046262,974.1406050510125,0.0020190004725009203,3.14,
50,400,10,50,1000,678.1398504704478,798.3593690584676,0.0013560993829742074,3.37,
50,400,10,100,1000,821.6590356183525,971.1407795414754,0.0020065896678715944,3.12,
50,400,10,150,1000,620.1573202285049,717.7931329944781,0.0010962088126689196,3.35,
50,400,10,200,1000,1118.4481451616305,1339.130032024642,0.0038153897039592266,3.6,
50,400,20,50,1000,911.2427721776767,1109.5179647602536,0.0026191608048975468,3.21,
50,400,20,100,1000,663.9012500002383,854.0813526876525,0.001552000641822815,3.2,
50,400,20,150,1000,1193.907753696296,1401.316538750813,0.004177988041192293,3.19,
50,400,20,200,1000,790.8128494625432,982.3584804950019,0.0020532102789729834,3.41,
50,800,5,50,1000,573.310522513697,746.6803735595868,0.0011862129904329777,3.61,
50,800,5,100,1000,545.6718649194269,716.6361928498676,0.0010926765389740467,3.28,
50,800,5,150,1000,854.6786122312159,993.7517629073473,0.0021011168137192726,3.38,
50,800,5,200,1000,514.3282375674451,678.9948672246156,0.000980903161689639,3.44,
50,800,10,50,1000,486.882090053878,608.8968960009909,0.00078882573870942,3.95,
50,800,10,100,1000,798.0615776212624,1014.8221166672521,0.002191154519096017,3.49,
50,800,10,150,1000,504.77304771514076,703.1525009638195,0.0010519452625885606,3.6,
50,800,10,200,1000,746.6116549059533,859.3401213454247,0.001571173663251102,3.57,
50,800,20,50,1000,520.0767103496064,707.8304601276838,0.0010659873951226473,3.45,
50,800,20,100,1000,639.4495984544113,778.5924845788591,0.0012897772248834372,3.46,
50,800,20,150,1000,511.4825537635864,643.6736173787293,0.0008815045584924519,3.78,
50,800,20,200,1000,700.9405124329234,954.1412230483763,0.0019369525834918022,3.56,
100,100,5,50,1000,552.9664801747806,681.1645363485338,0.000987184583209455,3.94,
100,100,5,100,1000,390.04962701615517,511.3230019822306,0.0005562684964388609,4.0,
100,100,5,150,1000,364.36510248655856,482.45165534948416,0.0004952242597937584,4.31,
100,100,5,200,1000,368.97209005375754,481.3078570882686,0.0004928798880428076,3.99,
